algorithm,name,size,un,new,newarray,anewarray,multianewarray
DLX,SUDOKU_PUZZLE_16x16_06,25,156,7587,590,3,2
CP,SUDOKU_PUZZLE_9x9_101,9,20,73,0,2,1
CP,SUDOKU_PUZZLE_9x9_102,9,20,80,0,2,1
CP,SUDOKU_PUZZLE_9x9_103,9,20,116,0,2,1
CP,SUDOKU_PUZZLE_9x9_104,9,20,78,0,2,1
CP,SUDOKU_PUZZLE_9x9_105,9,20,73,0,2,1
CP,SUDOKU_PUZZLE_16x16_01,16,64,250,0,2,1
CP,SUDOKU_PUZZLE_16x16_02,16,64,213,0,2,1
CP,SUDOKU_PUZZLE_16x16_03,16,64,203,0,2,1
CP,SUDOKU_PUZZLE_16x16_04,16,64,178,0,2,1
CP,SUDOKU_PUZZLE_16x16_05,25,156,826,0,2,1
CP,SUDOKU_PUZZLE_16x16_06,25,156,552,0,2,1
