branch : BFS : SUDOKU_PUZZLE_9x9_101
Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	156	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	27	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	15	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	values	11	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	28	0	1
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	6	32	607
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	18	542	65
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	6	24	258
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	18	250	8
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	30	22	70
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	45	68	207
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	59	205	2
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	25	2	22
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	15	8	24
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	6	65	32
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	6	1	108
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	15	86	872
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	37	0	97
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	70	0	22
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	52	75	22
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	26	850	22
pt/ulisboa/tecnico/cnv/solver/Solver	toString	69	1	9
pt/ulisboa/tecnico/cnv/solver/Solver	toString	87	9	81
pt/ulisboa/tecnico/cnv/solver/Solver	toString	183	9	81
pt/ulisboa/tecnico/cnv/solver/Solver	toString	156	1	9
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	113	1	0
pt/ulisboa/tecnico/cnv/solver/Solver	deepCloneArray	23	1	0
pt/ulisboa/tecnico/cnv/solver/Solver	run	35	2716	28518000
pt/ulisboa/tecnico/cnv/solver/Solver	run	24	97	2716
pt/ulisboa/tecnico/cnv/solver/Solver	deepCloneArray	18	1	9
pt/ulisboa/tecnico/cnv/solver/SolverFactory	getInstance	3	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory	toString	9	0	1

branch : BFS : SUDOKU_PUZZLE_9x9_105
Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	795	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	769	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	684	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	665	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	538	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	500	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	390	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	356	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	261	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	182	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	168	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	156	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	27	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	15	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	values	11	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	28	0	1
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	6	32	718
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	18	626	92
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	6	25	261
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	18	254	7
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	30	24	75
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	45	74	223
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	59	222	1
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	25	1	24
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	15	7	25
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	6	92	32
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	6	1	115
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	15	91	930
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	37	2	124
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	70	2	22
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	52	100	24
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	26	906	24
pt/ulisboa/tecnico/cnv/solver/Solver	toString	69	1	9
pt/ulisboa/tecnico/cnv/solver/Solver	toString	87	9	81
pt/ulisboa/tecnico/cnv/solver/Solver	toString	183	9	81
pt/ulisboa/tecnico/cnv/solver/Solver	toString	156	1	9
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	113	1	0
pt/ulisboa/tecnico/cnv/solver/Solver	deepCloneArray	23	1	0
pt/ulisboa/tecnico/cnv/solver/Solver	run	35	3472	36456000
