branch : BFS : SUDOKU_PUZZLE_9x9_101
Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	156	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	27	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	15	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	values	11	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	28	0	1
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	6	18	343
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	18	305	38
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	6	12	140
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	18	134	6
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	30	12	36
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	45	36	108
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	59	108	0
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	25	0	12
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	15	6	12
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	6	38	18
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	6	1	38
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	15	26	278
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	37	0	56
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	70	0	12
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	52	44	12
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	26	266	12
pt/ulisboa/tecnico/cnv/solver/Solver	toString	69	1	9
pt/ulisboa/tecnico/cnv/solver/Solver	toString	87	9	81
pt/ulisboa/tecnico/cnv/solver/Solver	toString	183	9	81
pt/ulisboa/tecnico/cnv/solver/Solver	toString	156	1	9
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	113	1	0
pt/ulisboa/tecnico/cnv/solver/Solver	deepCloneArray	23	1	0
pt/ulisboa/tecnico/cnv/solver/Solver	run	35	1568	16464000
pt/ulisboa/tecnico/cnv/solver/Solver	run	24	56	1568
pt/ulisboa/tecnico/cnv/solver/Solver	deepCloneArray	18	1	9
pt/ulisboa/tecnico/cnv/solver/SolverFactory	getInstance	3	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory	toString	9	0	1

branch : BFS : SUDOKU_PUZZLE_9x9_105
Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	795	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	769	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	684	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	665	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	538	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	500	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	390	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	356	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	261	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	182	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	168	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	156	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	27	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	15	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	values	11	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	28	0	1
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	6	15	349
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	18	304	45
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	6	12	130
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	18	127	3
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	30	12	36
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	45	36	108
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	59	108	0
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	25	0	12
pt/ulisboa/tecnico/cnv/solver/Solver	colCheck	15	3	12
pt/ulisboa/tecnico/cnv/solver/Solver	rowCheck	6	45	15
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	6	1	38
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	15	26	278
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	37	0	60
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	70	0	12
pt/ulisboa/tecnico/cnv/solver/Solver	boxCheck	52	48	12
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	26	266	12
pt/ulisboa/tecnico/cnv/solver/Solver	toString	69	1	9
pt/ulisboa/tecnico/cnv/solver/Solver	toString	87	9	81
pt/ulisboa/tecnico/cnv/solver/Solver	toString	183	9	81
pt/ulisboa/tecnico/cnv/solver/Solver	toString	156	1	9
pt/ulisboa/tecnico/cnv/solver/Solver	runSolver	113	1	0
pt/ulisboa/tecnico/cnv/solver/Solver	deepCloneArray	23	1	0
pt/ulisboa/tecnico/cnv/solver/Solver	run	35	1680	17640000
