BFS,SUDOKU_PUZZLE_9x9_101,555,67931309,158517989,2.333504113692259,285617.9981981982,122398.75495495496
BFS,SUDOKU_PUZZLE_9x9_102,531,62638133,146166558,2.333507577564612,275266.58757062146,117962.58568738229
BFS,SUDOKU_PUZZLE_9x9_103,600,79399716,185278885,2.3334955631327445,308798.14166666666,132332.86
BFS,SUDOKU_PUZZLE_9x9_104,480,49405245,115288092,2.333519285249977,240183.525,102927.59375
BFS,SUDOKU_PUZZLE_9x9_105,489,52933838,123521612,2.333509465155351,252600.43353783232,108249.15746421268
BFS,SUDOKU_PUZZLE_16x16_01,1741,284960519,664963011,2.333526810428079,381943.14244686964,163676.34635267087
BFS,SUDOKU_PUZZLE_16x16_02,1818,298196437,695853947,2.333542124113307,382757.94664466445,164024.44279427943
BFS,SUDOKU_PUZZLE_16x16_03,1618,247026959,576447858,2.3335422997293183,356271.85290482076,152674.26390605685
BFS,SUDOKU_PUZZLE_16x16_04,1490,212621548,496164280,2.33355595736703,332996.1610738255,142699.02550335572
BFS,SUDOKU_PUZZLE_16x16_05,2895,397005473,926426387,2.3335355555665096,320009.1146804836,137134.87841105353
BFS,SUDOKU_PUZZLE_16x16_06,4882,917545986,2141171627,2.3335850842030714,438584.929741909,187944.69192953708
DLX,SUDOKU_PUZZLE_9x9_101,3382,226033522,532691506,2.356692499796557,157507.83737433472,66834.27616794796
DLX,SUDOKU_PUZZLE_9x9_102,3382,226033522,532691506,2.356692499796557,157507.83737433472,66834.27616794796
DLX,SUDOKU_PUZZLE_9x9_103,3386,226033597,532692013,2.3566939608539696,157321.91760189013,66755.34465445954
DLX,SUDOKU_PUZZLE_9x9_104,3370,226033297,532689988,2.356688129890881,158068.24569732937,67072.19495548961
DLX,SUDOKU_PUZZLE_9x9_105,3374,226033373,532690497,2.3566895893731585,157881.00088915235,66992.70094842916
DLX,SUDOKU_PUZZLE_16x16_01,12285,723534583,1780831907,2.4612948003343744,144959.86218966218,58895.773951973955
DLX,SUDOKU_PUZZLE_16x16_02,12285,723534531,1780831753,2.4612947643821577,144959.84965404964,58895.76971916972
DLX,SUDOKU_PUZZLE_16x16_03,12261,723534067,1780828667,2.461292077626526,145243.34613816167,59011.01598564554
DLX,SUDOKU_PUZZLE_16x16_04,12261,723534068,1780828670,2.461292078371077,145243.3463828399,59011.01606720496
DLX,SUDOKU_PUZZLE_16x16_05,27191,227809642,1387516060,6.090681886063453,51028.5042845059,8378.12665955647
DLX,SUDOKU_PUZZLE_16x16_06,35322,1883457774,5258238346,2.791800495124878,148865.81580884435,53322.51214540513
CP,SUDOKU_PUZZLE_9x9_101,472,52050998,121463920,2.333556025188989,257338.81355932204,110277.53813559322
CP,SUDOKU_PUZZLE_9x9_102,498,62637180,146166367,2.3335400316553203,293506.7610441767,125777.46987951807
CP,SUDOKU_PUZZLE_9x9_103,521,71458954,166751704,2.333531274471216,320060.8522072937,137157.30134357006
CP,SUDOKU_PUZZLE_9x9_104,466,49404379,115287816,2.333554602518129,247398.7467811159,106017.98068669529
CP,SUDOKU_PUZZLE_9x9_105,474,52933011,123521514,2.3335440713924247,260593.91139240508,111673.01898734177
CP,SUDOKU_PUZZLE_16x16_01,1555,284954991,664956911,2.3335506729201314,427625.0231511254,183250.79807073955
CP,SUDOKU_PUZZLE_16x16_02,2449,594606144,1387533490,2.333533724804566,566571.4536545529,242795.48550428747
CP,SUDOKU_PUZZLE_16x16_03,1472,247020607,576437665,2.333561041731227,391601.6745923913,167812.91236413043
CP,SUDOKU_PUZZLE_16x16_04,1389,212615364,496153723,2.333574176699667,357202.10439164867,153070.81641468682
CP,SUDOKU_PUZZLE_16x16_05,7078,2161415046,5043755426,2.3335432199077975,712596.1325233117,305370.87397569936
CP,SUDOKU_PUZZLE_16x16_06,3903,807236594,1883759970,2.333590900117197,482644.1122213682,206824.64616961312
